# id   lat         lon           alt   title /other title/, cat
5221   41.8435645   78.2470291  4550  пер. Летавета, 1Б
5222   41.8695433   78.2439089  4500  пер. Лысый С., 2А
5223   41.8601534   78.2335670  4550  пер. Лысый Ю., 2Б
5224   41.8130228   78.2778450  4750  пер. Молодых специалистов, 2Б
5225   41.8526601   78.3534856  4700  пер. Мукаша Солукунова, 2Б
5226   41.9486443   78.3324620  4700  пер. Оройсу, 2Б*
5227   41.9355110   78.3557700  4470  пер. Осыпной, 1Б
5228   41.8517710   78.3533400  4740  пер. Первоцелинников /Петрова Ю./, 2Б
5229   41.8105176   78.3070006  4550  пер. Переметный, 1Б
5230   41.8864667   78.3439333  4370  пер. Петрова, 1Б
5231   41.8439278   78.3479056  4700  пер. Птицы, 2Б
5232   41.9253962   78.2832466  4500  пер. Рериха Н., 2А*
5233   41.9341520   78.3096700  4592  пер. Сарытор В., 2А*
5234   41.9250663   78.2762686  4500  пер. Сарытор З., 2Б
5235   41.9701167   78.3587000  4950  пер. Сибиряков, 2Б
5236   41.8317401   78.3641155  4550  пер. Скальный, 2А
5237   41.9487724   78.3261402  4700  пер. 100 лет городу Фрунзе, 2Б
5238   41.9670698   78.3242011  4349  пер. Тренировочный, 1Б
5239   41.9847889   78.3751530  4610  пер. Туристов В. /Двойной/, 1Б
5240   41.9716372   78.3656821  4600  пер. Туристов З. /Чомой С./, 2А
5241   41.8795825   78.4252252  4850  пер. ФиС /Физкультуры и Спорта/, 3А
5242   41.7182350   78.2575541  4550  пер. ХКТ /Харьковского клуба туристов/, 2А
5243   41.9488701   78.3928091  4700  пер. Чомой Ю., 2А
5244   41.7450818   78.3107355  4800  пер. Чонсай, 3А
5245   41.7835518   78.4082624  4700  пер. 60 лет ВЛКСМ, 2А
5246   41.8648818   78.3470575  4600  пер. Шукшина Василия, 2А
5247   41.8366708   78.2721437  4600  пер. Эдельштейна, 2А
5248   41.8254540   78.2997159  4600  пер. Экспедиционный, 1Б
5249   41.8535163   78.3985330  4600  пер. Южный, 2А
5250   41.9624570   78.3614645  4800  пер. 35 лет Победы, 2Б
5251   41.8915613   78.4545616  4700  пер. Кургатепчи Л., 2Б
5252   41.9983846   78.7330336  4409  пер. Алые паруса, 2А
5253   42.0757437   78.7357111  4200  пер. Альпина /ВАЗ/, 2Б*
5254   42.0527786   78.7813646  4600  пер. Амундсена В., 3А*
5256   41.9814928   78.6500585  4404  пер. Башкуль, 2А
5257   41.9790785   78.7322136  4770  пер. Блондинка, 1Б
5258   42.0747159   78.8176797  4350  пер. Борду, 2А*
5259   42.0257528   78.6506361  4520  пер. Буревестник, 2А*
5260   42.0232410   78.7021700  4906  пер. Грушина /Валерия Грушина/, 2Б
5261   42.0690507   78.9574487  3900  пер. Двух холостяков, 1А
5262   42.0807537   78.8373312  4500  пер. Дружба, 2Б
5263   42.0864111   78.8423972  4400  пер. ДСО "Зенит" /Зенит/, 2А
5264   42.0676607   78.9492301  4030  пер. Загадок, 2А
5267   42.1154103   78.8191171  4150  пер. Карасу, 1А
5268   42.0370696   78.7324356  4400  пер. Каратор В. /Зимина/, 3А
5269   42.0343740   78.7291440  4567  пер. Каратор З. /Каратор/, 2Б
5271   42.1097640   78.9095314  4200  пер. Киндык В., 2Б
5272   42.1022157   78.9058123  4455  пер. Киндык З., 2А
5273   42.1241588   78.8301859  4100  пер. Конгломератный, 1А
5274   42.0820247   78.5971008  4300  пер. Куйлю С., 1Б
5275   42.0756979   78.6019330  4250  пер. Куйлю Ю., 1Б
5276   42.0645928   78.6392539  4220  пер. Леденец, 2А
5277   42.0252781   78.6830607  4900  пер. Ледовая песня, 3Б
5278   42.0799916   78.7434747  4100  пер. Мансынташ, 1Б
5279   41.9827843   78.6129278  4490  пер. МЭИ, 1Б
5280   42.0426800   78.6811800  4333  пер. Обручева, 2А
5281   42.1003056   78.8871972  4200  пер. Оройсу В., 2А
5282   42.0933971   78.8845698  4507  пер. Оройсу ложный, 2Б
5283   42.0798700   78.9515300  4000  пер. Панорамный, 1А
5284   42.0900083   78.8674889  4512  пер. Первого мая, 3Б
5285   42.0001909   78.7076076  4600  пер. Песня Сольвейг, 2А*
5286   42.0770565   78.8288198  4400  пер. Петровского, 2А*
5287   41.9685972   78.6095100  4230  пер. Сары В., 1Б
5289   42.0727337   78.8269330  4300  пер. Серый, 2А
5290   42.0322461   78.6978614  5000  пер. Снежная фантазия, 3Б
5291   42.0454633   78.6219013  4470  пер. Сокол, 1Б
5292   42.0242914   78.6688398  4800  пер. Солнечный, 3А
5293   41.9132077   78.7364809  3110  пер. Сыпучий, 1А
5294   42.0583584   78.9410253  4300  пер. Талдысу Б., 2А
5295   42.0634632   78.9317316  4700  пер. Талдысу М., 3А
5296   41.9828190   78.8305082  3672  пер. Теректы, 1А
5297   41.9204649   78.7844267  3350  пер. Травянистый, 1А
5298   41.9640691   78.6426445  4650  пер. Туманный, 2А
5299   42.0055054   78.6751869  4420  пер. Тянь-ата /Айсбайль/, 2А
5300   42.0165269   78.7056943  4750  пер. Целинный, 2Б
5301   42.0618308   78.7411672  4000  пер. Щорса, 3А
5302   42.0793019   78.8892356  4250  пер. Экичат С. /Ики-Чат С./, 2А
5303   42.0723681   78.8977051  4200  пер. Экичат Ю. /Ики-Чат Ю./, 2А
5304   42.0314056   78.6223972  4580  пер. Энергия, 2Б*
5305   42.0257539   78.6063844  4600  пер. Юго-Западный, 2Б
5306   42.0310185   78.6370260  4650  пер. 250 лет Тольятти, 3А
5307   42.0263499   78.6927978  4850  пер. 50 лет ЛКИ, 3А
5308   42.0333620   78.6195103  4500  пер. 50 лет профсоюзов Киргизии, 2Б
5437   42.2357750   79.4971250  4200  пер. Забытый, 2А
5439   42.2296750   79.4650250  4100  пер. Корумду, 1Б
5459   42.2011528   79.3443361  4300  пер. Шилун (Ярославцев), 2А
5471   42.1125649   79.4221014  3674  пер. Атджайляу, н/к
5473   42.0891740   79.4838180  4850  пер. Великий почин, 3Б
5481   42.0775250   79.4658389  4400  пер. Кольцевой, 2Б
5485   42.0886900   79.4907690  4600  пер. Майрониса, 3А
5496   42.0806730   79.4661420  4420  пер. Спокойный В., 1Б
5510   41.9990250   79.4576444  4200  пер. Дозорный, 2Б
5512   42.0141417   79.4823639  4300  пер. Подарок, 2А
6420   42.2963600   78.2243500  2805  пер. Аксай, н/к
6477   41.7462333   78.1694500  4300  пер. Акбель В., 2А
6535   42.1573667   78.4338500  4594  пер. Грозовой /Перелаз/, 2Б
6559   41.7686282   78.1710167  4450  пер. Союзмультфильм, 1Б
6561   42.0061409   78.6895381  4560  пер. Бодрова Сергея, 2А*
6562   41.8447999   78.3353686  4640  пер. Гражданская оборона, 3А
6932   42.2962457   78.8713156  4200  пер. Тургень Ю.-В., 2А
7059   42.2553700   78.5822089  3700  пер. Средний, 1Б
7082   42.3308800   78.8607400  3800  пер. Джангибайтор, 1Б*
7084   42.0994006   78.2600525  4400  пер. Че Гевары /Колпаковского В., Надежды/, 3А
7100   42.1758912   78.4535835  4450  пер. С. Васильева, 2Б
7101   42.1723833   78.4582333  4989  пер. Западное плечо Каракола, 3А*
7102   42.1515000   78.4849167  4350  пер. Любитель, 1Б
7144   42.2767500   78.4201222  4240  вер. Гастелло, 2А
7147   42.3001017   78.5372401  3800  пер. Обходной, 1А
7148   42.2079434   78.2641519  4000  пер. Чатыртор С., 2А*
7149   42.2164403   78.2623797  3800  пер. Эхо, 1А*
7153   41.8594111   78.3665306  4910  пер. Подоконник, 2Б
7154   41.9581320   78.3626600  5027  вер. Орой, 2Б
7327   42.1416261   78.4804242  4250  пер. 40 лет Победы, 2А
7652   42.2685400   78.7948600  4400  пер. Широкий, 2А
7861   42.2301500   78.6186000  4711  вер. 4711, 1Б
7862   42.2076167   78.6652667  4930  вер. пик Вильнюсского университета
7888   42.0941667   78.3102667  4388  пер. Бороко Ю., 2Б
8156   42.0380806   78.0103167  4074  пер. Джамансу, 1Б
8157   42.0288889   78.0166667  4190  пер. ТК "Меридиан", 2А
8264   42.2668140   78.4167527  4020  пер. Харьковчанка, 2Б
8265   42.2848690   78.4136907  4320  вер. пик Аютор
8266   42.2880729   78.4100923  4100  вер. пик Тюленина
8267   42.2871560   78.4052159  3950  пер. Аютор Ц., 3А
8268   42.2949627   78.3987928  3900  вер. Ашутор
8269   42.2975806   78.3919102  3890  пер. Вестра, 1Б
8270   42.2986050   78.3878850  3890  пер. Аютор З., 1Б
8271   42.3112372   78.3229299  3632  вер. Джетыогуз
